"MOD_NAME","ITM_NAME","SEQ_NO","DSCR","ITM_TYPE","FLD_LEN","DECML","MIN_LEN","MAX_LEN","CODELIST","update_stamp"
"CHNGCAT","CNO","3","Center Number","CHAR","4","","","","","2017-06-12 07:11:48.0"
"CHNGCAT","PATNO","4","Patient Number","CHAR","8","","","","","2017-06-12 07:11:48.0"
"CHNGCAT","EVENT_ID","5","Event Name","CHAR","8","","","","","2017-06-12 07:11:48.0"
"CHNGCAT","PAG_NAME","6","Page Name","CHAR","8","","","","","2017-06-12 07:11:48.0"
"CHNGCAT","INFODT","7","Event Date","DATE","","","","","","2017-06-12 07:11:48.0"
"CHNGCAT","CHNGAPDX","8","New category (change)","CHAR","1","","","","CHNGAPDX","2017-06-12 07:11:48.0"
"CHNGCAT","NEWSOA","9","Subject starting with new SOA","CHAR","2","","","","YN2CHR","2017-09-10 00:51:52.0"
"CHNGCAT","CHNGFVIS","10","First visit conducted in new category","CHAR","3","","","","VIS","2017-09-10 00:51:52.0"
"CHNGCAT","RECNSTDT","11","Date of re-consent","DATE","","","","","","2017-09-10 00:51:52.0"
"CHNGCAT","ORIG_ENTRY","101","Date of original data entry","DATE","","","","","","2017-06-12 07:11:48.0"
"CHNGCAT","LAST_UPDATE","102","Date of most recent update to record","DATE","","","","","","2017-06-12 07:11:48.0"
"CHNGCAT","QUERY","103","Any open/pending queries on this record","NUMBER","8","","","","","2017-06-12 07:11:48.0"
"CHNGCAT","SITE_APRV","104","Date site approved the data","DATE","","","","","","2017-06-12 07:11:48.0"
"CLINDX","","0","Clinical Diagnosis and Management","","","","","","","2017-06-12 07:11:48.0"
"CLINDX","REC_ID","1","Record ID","NUMBER","12","0","","","","2017-06-12 07:11:48.0"
"CLINDX","F_STATUS","2","Data status: Verified, Secured or Locked","CHAR","1","","","","","2017-06-12 07:11:48.0"
"CLINDX","CNO","3","Center Number","CHAR","4","","","","","2017-06-12 07:11:48.0"
"CLINDX","PATNO","4","Patient Number","CHAR","8","","","","","2017-06-12 07:11:48.0"
"CLINDX","EVENT_ID","5","Event Name","CHAR","8","","","","","2017-06-12 07:11:48.0"
"CLINDX","PAG_NAME","6","Page Name","CHAR","8","","","","","2017-06-12 07:11:48.0"
"CLINDX","INFODT","7","Event Date","DATE","","","","","","2017-06-12 07:11:48.0"
"CLINDX","PSLVL","8","Confidence level-motor signs of PS","CHAR","1","","","","PSLVL","2017-06-12 07:11:48.0"
"CLINDX","DCNOMTR","9","No motor signs consistent with PS","CHAR","1","","","","YN","2017-06-12 07:11:48.0"
"CLINDX","DCRTREM","10","Present for dx PD-Rest Tremor","CHAR","1","","","","YN","2017-06-12 07:11:48.0"
"CLINDX","DCRIGID","11","Present for dx PD-Rigidity","CHAR","1","","","","YN","2017-06-12 07:11:48.0"
"CLINDX","DCBRADY","12","Present for dx PD-Bradykinesia","CHAR","1","","","","YN","2017-06-12 07:11:48.0"
"CLINDX","DFPGDIST","13","Postural and gait dist are typical of PD","CHAR","1","","","","YN","2017-06-12 07:11:48.0"
"CLINDX","DFOTH","14","Other signs related to PS","CHAR","1","","","","YN","2017-06-12 07:11:48.0"
"CLINDX","DFOTHCM","15","Other signs related to PS - comment","CHAR","100","","","","","2017-06-12 07:11:48.0"
"CLINDX","PRIMDIAG","16","Most  likely primary diagnosis","CHAR","2","","","","PRIMDIAG","2017-06-12 07:11:48.0"
"CLINDX","OTHNEURO","17","Other neurological disorder(s) (specify)","CHAR","50","","","","","2017-06-12 07:11:48.0"
"CLINDX","CLDXCHNG","18","Change in clinical diagnosis","CHAR","1","","","","YN","2017-06-12 07:11:48.0"
"CLINDX","DXFDTIMG","19","Factors in diagnosis-imaging data","CHAR","1","","","","YN","2017-06-12 07:11:48.0"
"CLINDX","DXFCLSGN","20","Factors in diagnosis-clinical signs","CHAR","1","","","","YN","2017-06-12 07:11:48.0"
"CLINDX","DXFRSPMD","21","Factors in diagnosis-response to PD med","CHAR","1","","","","YN","2017-06-12 07:11:48.0"
"CLINDX","DXFNATHX","22","Factors in diagnosis-natural history","CHAR","1","","","","YN","2017-06-12 07:11:48.0"
"CLINDX","DXFOTH","23","Factors in diagnosis-other","CHAR","1","","","","YN","2017-06-12 07:11:48.0"
"CLINDX","DXFOTHCM","24","Factors in diagnosis-other comment","CHAR","100","","","","","2017-06-12 07:11:48.0"
"CLINDX","MNGCHNG","25","Change in clinical management","CHAR","1","","","","YN","2017-06-12 07:11:48.0"
"CLINDX","MNGTRTSX","26","Current management-treat symptoms of PD","CHAR","1","","","","YN","2017-06-12 07:11:48.0"
"CLINDX","MNGTRIAL","27","Current management-enrolled in trial","CHAR","1","","","","YN","2017-06-12 07:11:48.0"
"CLINDX","MNGTRTOT","28","Current management-treat other than PD","CHAR","1","","","","YN","2017-06-12 07:11:48.0"
"CLINDX","MNGDXTST","29","Current management-diagnostic testing","CHAR","1","","","","YN","2017-06-12 07:11:48.0"
"CLINDX","MNGNOTRT","30","Current management-no treatment","CHAR","1","","","","YN","2017-06-12 07:11:48.0"
"CLINDX","OTNEURVS","31","Seen another neurologist","CHAR","1","","","","YN","2017-06-12 07:11:48.0"
"CLINDX","NEURWKDX","32","Other neurologist working diagnosis","CHAR","100","","","","","2017-06-12 07:11:48.0"
"CLINDX","ORIG_ENTRY","101","Date of original data entry","DATE","","","","","","2017-06-12 07:11:48.0"
"CLINDX","LAST_UPDATE","102","Date of most recent update to record","DATE","","","","","","2017-06-12 07:11:48.0"
"CLINDX","QUERY","103","Any open/pending queries on this record","NUMBER","8","","","","","2017-06-12 07:11:48.0"
"CLINDX","SITE_APRV","104","Date site approved the data","DATE","","","","","","2017-06-12 07:11:48.0"
"CLINLAB","","0","Clinical Labs","","","","","","","2017-06-12 07:11:48.0"
"CLINLAB","REC_ID","1","Record ID","NUMBER","12","0","","","","2017-06-12 07:11:48.0"
"CLINLAB","F_STATUS","2","Data status: Verified, Secured or Locked","CHAR","1","","","","","2017-06-12 07:11:48.0"
"CLINLAB","CNO","3","Center Number","CHAR","4","","","","","2017-06-12 07:11:48.0"
"CLINLAB","PATNO","4","Patient Number","CHAR","8","","","","","2017-06-12 07:11:48.0"
"CLINLAB","EVENT_ID","5","Event Name","CHAR","8","","","","","2017-06-12 07:11:48.0"
"CLINLAB","PAG_NAME","6","Page Name","CHAR","8","","","","","2017-06-12 07:11:48.0"
"CLINLAB","INFODT","7","Event Date","DATE","","","","","","2017-06-12 07:11:48.0"
"CLINLAB","BLDLAB","8","Blood for safety labs","CHAR","1","","","","LABP","2017-06-12 07:11:48.0"
"CLINLAB","BLDSHPDT","9","Date shipped to central lab","DATE","","","","","","2017-06-12 07:11:48.0"
"CLINLAB","COMM","10","Comments","CHAR","240","","","","","2017-06-12 07:11:48.0"
"CLINLAB","ORIG_ENTRY","101","Date of original data entry","DATE","","","","","","2017-06-12 07:11:48.0"
"CLINLAB","LAST_UPDATE","102","Date of most recent update to record","DATE","","","","","","2017-06-12 07:11:48.0"
"CLINLAB","QUERY","103","Any open/pending queries on this record","NUMBER","8","","","","","2017-06-12 07:11:48.0"
"CLINLAB","SITE_APRV","104","Date site approved the data","DATE","","","","","","2017-06-12 07:11:48.0"
"CODE_DECODE","VIEWNAME","1","Data Table","CHAR","13","","","","","2017-06-12 07:11:48.0"
"CODE_DECODE","ITM_NAME","2","Item Name","CHAR","8","","","","","2017-06-12 07:11:48.0"
"CODE_DECODE","CDL_NAME","3","Codelist Name","CHAR","8","","","","","2017-06-12 07:11:48.0"
"CODE_DECODE","CODE","4","Codes","CHAR","40","","","","","2017-06-12 07:11:48.0"
"CODE_DECODE","DECODE","5","Decoded Value","CHAR","40","","","","","2017-06-12 07:11:48.0"
"COGCATG","","0","Cognitive Categorization","","","","","","","2017-06-12 07:11:48.0"
"COGCATG","REC_ID","1","Record ID","NUMBER","12","0","","","","2017-06-12 07:11:48.0"
"COGCATG","F_STATUS","2","Data status: Verified, Secured or Locked","CHAR","1","","","","","2017-06-12 07:11:48.0"
"COGCATG","CNO","3","Center Number","CHAR","4","","","","","2017-06-12 07:11:48.0"
"COGCATG","PATNO","4","Patient Number","CHAR","8","","","","","2017-06-12 07:11:48.0"
"COGCATG","EVENT_ID","5","Event Name","CHAR","8","","","","","2017-06-12 07:11:48.0"
"COGCATG","PAG_NAME","6","Page Name","CHAR","8","","","","","2017-06-12 07:11:48.0"
"COGCATG","INFODT","7","Event Date","DATE","","","","","","2017-06-12 07:11:48.0"
"COGCATG","PTCGBOTH","8","Source of Information","CHAR","1","","","","PTCGBOTH","2017-06-12 07:11:48.0"
"COGCATG","COGDECLN","9","Experienced cognitive decline","CHAR","1","","","","YN","2017-06-12 07:11:48.0"
"COGCATG","FNCDTCOG","10","Functional impairment due to cognitive","CHAR","1","","","","YN","2017-06-12 07:11:48.0"
"COGCATG","COGSTATE","11","Cognitive State","CHAR","1","","","","COGSTATE","2017-06-12 07:11:48.0"
"COGCATG","COGDXCL","12","Level of confidence cognitive diagnosis","CHAR","1","","","","PROBIPD","2017-06-12 07:11:48.0"
"COGCATG","RVWNPSY","13","Review neuropsychological tests","CHAR","1","","","","YN","2017-06-12 07:11:48.0"
"COGCATG","ORIG_ENTRY","101","Date of original data entry","DATE","","","","","","2017-06-12 07:11:48.0"
"COGCATG","LAST_UPDATE","102","Date of most recent update to record","DATE","","","","","","2017-06-12 07:11:48.0"
"COGCATG","QUERY","103","Any open/pending queries on this record","NUMBER","8","","","","","2017-06-12 07:11:48.0"
"COGCATG","SITE_APRV","104","Date site approved the data","DATE","","","","","","2017-06-12 07:11:48.0"
"COGTIME","","0","Cognitive Assessments","","","","","","","2017-06-12 07:11:48.0"
"COGTIME","REC_ID","1","Record ID","NUMBER","12","0","","","","2017-06-12 07:11:48.0"
"COGTIME","F_STATUS","2","Data status: Verified, Secured or Locked","CHAR","1","","","","","2017-06-12 07:11:48.0"
"COGTIME","CNO","3","Center Number","CHAR","4","","","","","2017-06-12 07:11:48.0"
"COGTIME","PATNO","4","Patient Number","CHAR","8","","","","","2017-06-12 07:11:48.0"
"COGTIME","EVENT_ID","5","Event Name","CHAR","8","","","","","2017-06-12 07:11:48.0"
"COGTIME","PAG_NAME","6","Page Name","CHAR","8","","","","","2017-06-12 07:11:48.0"
"COGTIME","INFODT","7","Event Date","DATE","","","","","","2017-06-12 07:11:48.0"
"COGTIME","HVLTRTTM","8","HVLT-R immediate Recall Time","TIME","","","","","","2017-06-12 07:11:48.0"
"COGTIME","HVLTDRTM","9","HVLT-R Delayed Recall/Recog Time","TIME","","","","","","2017-06-12 07:11:48.0"
"COGTIME","LNORNTTM","10","Benton Judgement of Line Orient Time","TIME","","","","","","2017-06-12 07:11:48.0"
"COGTIME","SFTTM","11","Semantic Fluency Time","TIME","","","","","","2017-06-12 07:11:48.0"
"COGTIME","LNSTM","12","Letter Number Sequencing Time","TIME","","","","","","2017-06-12 07:11:48.0"
"COGTIME","SDMTM","13","Symbol Digit Modalities Time","TIME","","","","","","2017-06-12 07:11:48.0"
"COGTIME","MOCATM","14","MoCA Time","TIME","","","","","","2017-06-12 07:11:48.0"
"COGTIME","TMTTM","15","Trail Making Time","TIME","","","","","","2018-05-13 00:49:38.0"
"COGTIME","BSTNTM","16","Boston Naming Test Time","TIME","","","","","","2018-05-13 00:49:38.0"
"COGTIME","LEXICLTM","17","Lexical Fluency Time","TIME","","","","","","2018-05-13 00:49:38.0"
"COGTIME","COMM","18","Comments","CHAR","240","","","","","2018-05-13 00:49:38.0"
