"SECTION","CHARACTERISTIC","VARIABLES","DATASETS","update_stamp"
"Motor and Non-Motor Assessments","SCOPA-AUT Total Score","SCAU1 - SCAU25.  For questions 1-21 (SCAU1 - SCAU21), add 3 points for each response of ""9"". Otherwise, add the number of points in response.  For questions 22-25 (SCAU22 - SCAU25), add 0 points for each response of ""9"". Otherwise, add the number of points in response.","SCOPA","2016-09-12 14:14:25.0"
"Motor and Non-Motor Assessments","Semantic Fluency (SFT)","Sum of VLTANIM, VLTVEG, VLTFRUIT","SFT","2016-09-12 14:14:25.0"
"Motor and Non-Motor Assessments","State Trait Anxiety Index (STAI)","STAIAD1 - STAIAD40.  Add values for the following questions:  3, 4, 6, 7, 9, 12, 13, 14, 17, 18, 22, 24, 25, 28, 29, 31, 32, 35, 37, 38, 40.  Use reverse scoring for the remaining questions and add to the first score (e.g., if value = 1, add 4 points to score; if value = 2, add 3 points to score, etc).","STAI","2016-09-12 14:14:25.0"
"Motor and Non-Motor Assessments","STAI - State Subscore","STAIAD1 - STAIAD20.  Add values for the following questions:  3, 4, 6, 7, 9, 12, 13, 14, 17, 18.  Use reverse scoring for the values of the remaining questions through question 20 and add to the first value.","STAI","2016-09-12 14:14:25.0"
"Motor and Non-Motor Assessments","STAI - Trait Subscore","STAIAD21 - STAIAD40.  Add values for the following questions:  22, 24, 25, 28, 29, 31, 32, 35, 37, 38, 40.  Use reverse scoring for the values of the remaining questions and add to the first value.","STAI","2016-09-12 14:14:25.0"
"Motor and Non-Motor Assessments","UPSIT Raw Score","Sum of UPSITBK1 - UPSITBK4","UPSIT","2016-09-12 14:14:25.0"
"Cognitive","Mild Cognitive Impairment (MCI)","COGDECLN, FNCDTCOG, DVT_TOTAL_RECALL, DVT_RECOG_DISC_INDEX, DVS_JLO_MSSAE, DVS_LNS, DVT_SFTANIM, DVT_SDM.  Subject has MCI if the following 3 criteria are met:  (1) Cognitive decline marked as 'Yes' (COGDECLN = '1'); (2) Any 2 or more of the following cognitive tests are >1.5 SD below the standardized mean:  HVLT Total Recall (DVT_TOTAL_RECALL <=35),  HVLT Recognition Discrimination (DVT_RECOG_DISC_INDEX <=35, Benton Judgment of Line Orientation (DVS_JLO_MSSAE <=6), Letter Number Sequencing (DVS_LNS <=6)    , Semantic Fluency Test (DVT_SFTANMI<= 35), Symbol Digit Modalities (DVT_SDM <=35); (3) Functional impairment marked as 'No' (FNCDTCOG = '0').","COGCATG, HVLT, LINEORNT, LNSPD, SFT, SDM","2016-09-12 14:14:25.0"
"DaTSCAN","Contralateral","For Healthy Controls, no contralateral side is identified.  Instead, the average of the left and right values is calculated.  For PD and SWEDD subjects:  Use Left value if DOMSIDE = '2' (Right).  Use Right value if DOMSIDE = '1' (Left).  Use the average of the left and right values if DOMSIDE = '3' (Symmetric).","SBR, PDFEAT","2016-09-12 14:14:25.0"
"DaTSCAN","Ipsilateral","For Healthy Controls, no ipsilateral side is identified.  Instead, the average of the left and right values is calculated.  For PD and SWEDD subjects:  Use Right value if DOMSIDE = '2' (Right).  Use Left value if DOMSIDE = '1' (Left).  Use the average of the left and right values if DOMSIDE = '3' (Symmetric).","SBR, PDFEAT","2016-09-12 14:14:25.0"
"DaTSCAN","Mean Caudate","(CAUDATE_R + CAUDATE_L) / 2","SBR","2016-09-12 14:14:25.0"
"DaTSCAN","Mean Putamen","(PUTAMEN_R + PUTAMEN_L) / 2","SBR","2016-09-12 14:14:25.0"
"DaTSCAN","Mean Striatum","(CAUDATE_R + CAUDATE_L + PUTAMEN_R + PUTAMEN_L) / 4","SBR","2016-09-12 14:14:25.0"
"DaTSCAN","Count Density Ratio","Caudate / Putamen","SBR, PDFEAT","2016-09-12 14:14:25.0"
"DaTSCAN","Asymmetry Index","Absolute value of:  100 * [(left - right) / mean(left + right)]","SBR, PDFEAT","2016-09-12 14:14:25.0"
"CSF","Abeta 1-42","TESTNAME, TESTVALUE.  Create a subset of observations that have TESTNAME = ""Abeta 42"".  The value of Abeta 42 is the variable TESTVALUE. ","Biospecimen_Analysis","2016-09-12 14:14:25.0"
"CSF","t-tau","TESTNAME, TESTVALUE.  Create a subset of observations that have TESTNAME = ""Total tau"".  The value of Total tau is the variable TESTVALUE. ","Biospecimen_Analysis","2016-09-12 14:14:25.0"
"CSF","p-tau","TESTNAME, TESTVALUE.  Create a subset of observations that have TESTNAME = ""p-Tau 181P"".  The value of p-Tau 181P is the variable TESTVALUE. ","Biospecimen_Analysis","2016-09-12 14:14:25.0"
"CSF","Alpha-synuclein","TESTNAME, TESTVALUE.  Create a subset of observations that have TESTNAME = ""CSF Alpha-synuclein"".  The value of CSF Alpha-synuclein is the variable TESTVALUE.  ","Biospecimen_Analysis","2016-09-12 14:14:25.0"
"CSF","t-tau/Abeta 1-42","""Total Tau"" / ""Abeta 42""","Biospecimen_Analysis","2016-09-12 14:14:25.0"
"CSF","p-tau/Abeta 1-42","""p-Tau 181P"" / ""Abeta 42""","Biospecimen_Analysis","2016-09-12 14:14:25.0"
"CSF","p-tau/t-tau","""p-Tau 191P"" / ""Total tau""","Biospecimen_Analysis","2016-09-12 14:14:25.0"
"CSF","CSF Hemoglobin","TESTNAME, TESTVALUE.  Create a subset of observations that have TESTNAME = ""CSF Hemoglobin"".  The value of CSF Hemoglobin is the variable TESTVALUE.  ","Biospecimen_Analysis","2016-09-12 14:14:25.0"
"Biospecimen","Urate","LTSTNAME, LSIRES, LSIUNIT.  Create a subset of observations that have LTSTNAME = ""Serum Uric Acid"".  The value of Urate is the variable LSIRES, and the units are the variable LSIUNIT. ","Covance","2016-09-12 14:14:25.0"
"Genetics","ApoE","TESTNAME, TESTVALUE.  Create a subset of observations that have TESTNAME = ""APOE GENOTYPE"" or ""ApoE_Genotype"".  The genotype is the variable TESTVALUE. ","Biospecimen_Analysis","2016-09-12 14:14:25.0"
"Genetics","SNCA rs3910105","TESTNAME, TESTVALUE.  Create a subset of observations that have TESTNAME = ""rs3910105"".  The genotype is the variable TESTVALUE.  ","Biospecimen_Analysis","2016-09-12 14:14:25.0"
"Genetics","SNCA rs356181","TESTNAME, TESTVALUE.  Create a subset of observations that have TESTNAME = ""rs356181"".  The genotype is the variable TESTVALUE.  ","Biospecimen_Analysis","2016-09-12 14:14:25.0"
"Genetics","MAPT H1/H2","Extract the following 5 SNPs from the genetics data and count the number of minor alleles in each SNP:  rs17652121 (minor allele = C), rs8070723 (minor allele = G), rs1052587 (minor allele = C), rs16940799 (minor allele = C), rs17652748 (minor allele = T).  If the sum of minor alleles for all 5 SNPs is <5, then genotype = H1/H1. If sum = 5, then genotype = H1/H2 If sum = 10, then genotype = H2/H2.","NeuroX SNP Data","2016-09-12 14:14:25.0"
"Levodopa Equivalent Daily Dose","Levodopa Equivalent Daily Dose (LEDD)","The variable LEDD shows the Levodopa equivalent daily dose for each individual PD medication. To find the total LEDD at a specific time point, add all values of the variable LEDD for each PD medication being taken at that time point. Anticholinergics and other medications that are not included in the calculation of the total LEDD will have a missing value for the variable LEDD.  For COMT inhibitors, the variable LEDD will read ""LD x 0.5"" or ""LD x 0.33"". To find the LEDD for COMT inhibitors, first find the total dose of Levodopa only, and then multiply that value by either 0.5 or 0.33 as instructed.  Note: The variable LEDD is only updated quarterly, so this variable will not necessarily be up-to-date with the other data in the CONMED data file.","CONMED","2016-09-12 14:14:25.0"
"Note:  Authors","About the Authors","This document was prepared by Christopher S. Coffey, Chelsea J. Caspell-Garcia, and Eric D. Foster, University of Iowa, Department of Biostatistics Clinical Trials Statistical and Data Management Center. For more information please contact Eric D. Foster at (319)384-4188 or by e-mail at eric-foster@uiowa.edu.","","2016-09-12 14:14:25.0"
"Note:  Notice","Notice","This document is presented by the author(s) as a service to PPMI data users. However, users should be aware that no formal review process has vetted this document and that PPMI cannot guarantee the accuracy or utility of this document.","","2016-09-12 14:14:25.0"
